book_id,title,author,publisher,category,isbn,publish_year,description,cover_url
1,算法导论（第3版）,Thomas H. Cormen,机械工业出版社,算法与数据结构,978-7-111-40701-0,2013,算法领域的经典教材，全面介绍了算法设计、分析和实现的基础知识与高级技术。,/static/covers/book_001.jpg
2,深入理解计算机系统（第3版）,Randal E. Bryant,机械工业出版社,计算机基础,978-7-111-54493-7,2016,从程序员视角深入剖析计算机系统的工作原理，涵盖处理器架构、存储器层次、链接、异常控制流等核心主题。,/static/covers/book_002.jpg
3,Python编程：从入门到实践（第3版）,Eric Matthes,人民邮电出版社,编程语言,978-7-115-61383-7,2023,全球畅销的Python入门书，通过项目驱动的方式帮助读者快速掌握Python编程。,/static/covers/book_003.jpg
4,计算机网络：自顶向下方法（第8版）,James F. Kurose,机械工业出版社,计算机网络,978-7-111-71958-0,2022,以自顶向下的方式讲解计算机网络，从应用层开始逐步深入，适合初学者理解网络原理。,/static/covers/book_004.jpg
5,数据库系统概念（第7版）,Abraham Silberschatz,机械工业出版社,数据库,978-7-111-62383-0,2019,数据库领域的权威教材，涵盖关系模型、SQL、数据库设计、事务管理、存储引擎等核心内容。,/static/covers/book_005.jpg
6,机器学习,周志华,清华大学出版社,人工智能,978-7-302-42328-7,2016,国内最著名的机器学习教材之一（西瓜书），系统讲解监督学习、无监督学习、集成学习等经典算法。,/static/covers/book_006.jpg
7,深度学习,Ian Goodfellow,人民邮电出版社,人工智能,978-7-115-46147-6,2017,深度学习领域的奠基性著作（花书），由三位领域先驱合著，全面覆盖深度学习的数学基础与前沿技术。,/static/covers/book_007.jpg
8,C Primer Plus（第6版）,Stephen Prata,人民邮电出版社,编程语言,978-7-115-39059-2,2015,C语言经典入门教材，内容详尽，适合编程初学者打好C语言基础。,/static/covers/book_008.jpg
9,JavaScript高级程序设计（第4版）,Matt Frisbie,人民邮电出版社,编程语言,978-7-115-54588-1,2020,前端开发必读的红宝书，深入讲解JavaScript语言核心概念与Web开发技术。,/static/covers/book_009.jpg
10,操作系统概念（第10版）,Abraham Silberschatz,机械工业出版社,操作系统,978-7-111-65541-1,2020,操作系统领域的经典教材（恐龙书），涵盖进程管理、内存管理、文件系统、I/O系统等核心主题。,/static/covers/book_010.jpg
