rating_id,user_id,book_id,score,created_at
1,1,23,5,2025-12-24 00:00:00
2,1,22,5,2025-06-27 00:00:00
3,1,26,5,2025-05-31 00:00:00
4,1,14,4,2025-07-02 00:00:00
5,1,25,4,2025-02-24 00:00:00
6,1,12,5,2024-06-06 00:00:00
7,1,27,5,2024-08-08 00:00:00
8,1,6,4,2025-03-11 00:00:00
9,1,30,4,2026-04-30 00:00:00
10,1,24,4,2025-09-27 00:00:00
11,1,29,5,2025-01-09 00:00:00
12,1,10,4,2024-11-23 00:00:00
13,1,5,4,2025-11-08 00:00:00
14,1,1,5,2024-11-19 00:00:00
15,1,4,5,2026-01-25 00:00:00
16,1,8,5,2025-09-02 00:00:00
17,1,13,5,2025-09-12 00:00:00
18,1,21,5,2026-04-05 00:00:00
19,1,11,2,2024-12-30 00:00:00
20,1,16,4,2026-02-15 00:00:00
21,1,28,4,2024-07-25 00:00:00
22,1,19,5,2024-12-10 00:00:00
23,1,20,4,2024-06-28 00:00:00
24,2,19,4,2025-03-28 00:00:00
25,2,1,5,2024-09-18 00:00:00
26,2,6,4,2026-04-24 00:00:00
27,2,4,5,2025-06-29 00:00:00
28,2,14,5,2024-10-26 00:00:00
29,2,10,5,2024-12-17 00:00:00
30,2,29,3,2025-02-08 00:00:00
31,2,23,4,2025-03-28 00:00:00
32,2,25,5,2025-11-12 00:00:00
33,2,2,5,2024-08-01 00:00:00
34,3,14,1,2025-02-24 00:00:00
35,3,8,5,2025-02-11 00:00:00
36,3,15,5,2024-07-19 00:00:00
37,3,28,5,2024-05-06 00:00:00
38,3,19,3,2025-11-01 00:00:00
39,3,23,5,2024-08-08 00:00:00
40,3,21,5,2025-01-09 00:00:00
41,3,17,5,2025-06-04 00:00:00
42,3,29,5,2026-02-01 00:00:00
43,3,5,4,2025-08-24 00:00:00
44,3,10,5,2024-09-24 00:00:00
45,3,1,5,2025-05-21 00:00:00
46,3,9,3,2025-10-26 00:00:00
47,3,2,4,2025-05-02 00:00:00
48,3,26,5,2025-07-18 00:00:00
49,3,20,5,2024-05-12 00:00:00
50,3,16,5,2024-11-17 00:00:00
51,3,11,5,2025-08-26 00:00:00
52,3,12,5,2024-10-09 00:00:00
53,3,25,5,2024-05-23 00:00:00
54,3,3,5,2025-01-27 00:00:00
55,3,6,5,2026-01-25 00:00:00
56,3,7,3,2025-03-12 00:00:00
57,3,30,5,2024-06-20 00:00:00
58,3,13,5,2024-10-11 00:00:00
59,3,27,4,2025-02-19 00:00:00
60,3,24,5,2025-05-05 00:00:00
61,4,8,3,2025-11-21 00:00:00
62,4,22,3,2024-10-12 00:00:00
63,4,20,2,2026-04-28 00:00:00
64,4,24,5,2025-07-06 00:00:00
65,4,11,3,2024-05-07 00:00:00
66,4,27,3,2025-01-21 00:00:00
67,4,28,2,2025-08-03 00:00:00
68,4,15,5,2024-07-29 00:00:00
69,4,19,4,2025-10-10 00:00:00
70,4,29,4,2024-10-20 00:00:00
71,4,16,3,2025-08-01 00:00:00
72,4,25,5,2026-02-16 00:00:00
73,4,12,3,2024-08-29 00:00:00
74,4,13,5,2025-02-05 00:00:00
75,4,26,4,2024-05-14 00:00:00
76,4,4,4,2025-07-26 00:00:00
77,4,1,5,2025-02-06 00:00:00
78,4,17,2,2025-02-12 00:00:00
79,4,3,5,2026-04-04 00:00:00
80,4,23,2,2024-06-11 00:00:00
81,4,5,5,2025-11-02 00:00:00
82,4,7,4,2024-07-02 00:00:00
83,4,10,4,2025-07-20 00:00:00
84,4,21,4,2024-07-19 00:00:00
85,5,1,5,2025-06-29 00:00:00
86,5,24,5,2024-09-14 00:00:00
87,5,27,5,2025-11-29 00:00:00
88,5,30,4,2024-12-21 00:00:00
89,5,17,4,2024-10-12 00:00:00
90,5,19,5,2025-01-19 00:00:00
91,5,26,5,2024-05-16 00:00:00
92,5,18,3,2025-04-03 00:00:00
93,5,8,3,2025-03-06 00:00:00
94,5,3,2,2025-01-01 00:00:00
95,5,21,5,2025-03-31 00:00:00
96,5,12,5,2024-12-09 00:00:00
97,5,28,5,2025-12-22 00:00:00
98,5,29,5,2026-01-18 00:00:00
99,5,15,5,2025-02-04 00:00:00
100,5,13,2,2025-01-18 00:00:00
101,5,5,1,2025-12-04 00:00:00
102,5,9,4,2024-06-29 00:00:00
103,5,25,5,2025-01-05 00:00:00
104,5,16,5,2025-08-02 00:00:00
105,5,20,5,2024-07-04 00:00:00
106,5,11,2,2025-05-29 00:00:00
107,5,4,5,2025-06-10 00:00:00
108,5,7,4,2024-12-17 00:00:00
109,5,10,5,2024-08-06 00:00:00
110,6,19,4,2024-05-14 00:00:00
111,6,23,4,2025-07-23 00:00:00
112,6,15,1,2024-08-18 00:00:00
113,6,1,5,2025-09-07 00:00:00
114,6,21,5,2025-09-18 00:00:00
115,6,12,5,2024-06-05 00:00:00
116,6,11,5,2024-06-24 00:00:00
117,6,7,5,2024-07-26 00:00:00
118,6,10,2,2024-07-27 00:00:00
119,6,20,4,2025-06-18 00:00:00
120,6,22,5,2024-09-14 00:00:00
121,6,24,4,2025-12-17 00:00:00
122,7,19,5,2024-09-06 00:00:00
123,7,24,5,2025-03-02 00:00:00
124,7,26,5,2024-08-08 00:00:00
125,7,18,5,2026-03-28 00:00:00
126,7,29,5,2025-09-20 00:00:00
127,7,11,4,2025-09-01 00:00:00
128,7,16,5,2026-01-19 00:00:00
129,7,8,5,2024-10-20 00:00:00
130,7,30,5,2024-07-09 00:00:00
131,7,3,5,2025-07-22 00:00:00
132,7,6,3,2025-12-26 00:00:00
133,7,21,5,2026-01-27 00:00:00
134,8,12,3,2024-07-30 00:00:00
135,8,7,4,2024-10-16 00:00:00
136,8,25,5,2024-08-27 00:00:00
137,8,2,5,2024-11-29 00:00:00
138,8,4,4,2026-01-19 00:00:00
139,8,21,5,2024-06-29 00:00:00
140,8,14,5,2025-02-14 00:00:00
141,8,6,4,2025-09-09 00:00:00
142,8,19,5,2025-03-18 00:00:00
143,8,11,4,2026-01-23 00:00:00
144,8,13,5,2024-06-18 00:00:00
145,8,26,3,2024-05-27 00:00:00
146,8,16,5,2026-02-21 00:00:00
147,8,9,2,2026-01-25 00:00:00
148,8,23,4,2025-04-14 00:00:00
149,8,22,5,2024-10-08 00:00:00
150,9,10,5,2025-11-22 00:00:00
151,9,12,3,2024-06-09 00:00:00
152,9,13,3,2024-06-22 00:00:00
153,9,5,5,2025-03-02 00:00:00
154,9,18,3,2024-11-22 00:00:00
155,9,11,4,2026-01-07 00:00:00
156,9,8,4,2024-11-07 00:00:00
157,9,3,5,2025-09-17 00:00:00
158,9,7,4,2024-08-25 00:00:00
159,9,29,2,2025-10-03 00:00:00
160,9,19,4,2025-09-26 00:00:00
161,10,25,3,2025-11-04 00:00:00
162,10,7,4,2025-10-31 00:00:00
163,10,15,5,2025-01-10 00:00:00
164,10,6,5,2024-06-02 00:00:00
165,10,18,5,2024-09-29 00:00:00
166,10,5,5,2024-07-27 00:00:00
167,10,22,5,2026-02-20 00:00:00
168,10,1,5,2025-07-23 00:00:00
169,10,21,5,2024-11-27 00:00:00
170,10,20,2,2025-01-13 00:00:00
171,10,29,4,2026-03-03 00:00:00
172,10,23,5,2026-02-11 00:00:00
173,10,2,4,2026-01-28 00:00:00
174,10,13,4,2024-11-27 00:00:00
175,11,1,5,2024-12-19 00:00:00
176,11,21,3,2025-11-23 00:00:00
177,11,3,2,2026-01-17 00:00:00
178,11,10,4,2024-06-22 00:00:00
179,11,25,4,2024-08-27 00:00:00
180,11,23,4,2025-11-15 00:00:00
181,11,14,3,2024-05-21 00:00:00
182,11,12,5,2025-02-06 00:00:00
183,11,4,3,2024-06-07 00:00:00
184,11,19,5,2024-08-13 00:00:00
185,11,13,3,2025-01-26 00:00:00
186,11,2,3,2025-08-29 00:00:00
187,11,11,4,2025-01-05 00:00:00
188,11,30,5,2025-10-14 00:00:00
189,11,9,4,2024-09-23 00:00:00
190,11,20,5,2025-07-16 00:00:00
191,11,24,5,2024-12-02 00:00:00
192,11,18,4,2025-11-16 00:00:00
193,11,29,5,2025-08-17 00:00:00
194,11,27,3,2025-04-15 00:00:00
195,11,8,4,2026-01-15 00:00:00
196,11,26,5,2025-07-13 00:00:00
197,12,21,4,2025-10-21 00:00:00
198,12,16,5,2024-11-10 00:00:00
199,12,14,5,2026-02-20 00:00:00
200,12,20,5,2024-10-20 00:00:00
201,12,11,4,2025-03-27 00:00:00
202,12,8,5,2024-07-19 00:00:00
203,12,12,5,2025-08-14 00:00:00
204,12,3,5,2026-02-20 00:00:00
205,12,9,4,2024-09-12 00:00:00
206,12,6,5,2025-05-25 00:00:00
207,12,18,3,2025-05-05 00:00:00
208,12,15,4,2024-07-11 00:00:00
209,13,4,4,2025-02-09 00:00:00
210,13,29,3,2026-03-03 00:00:00
211,13,1,3,2025-04-23 00:00:00
212,13,12,4,2026-03-30 00:00:00
213,13,25,3,2024-08-16 00:00:00
214,13,22,5,2026-03-26 00:00:00
215,13,24,3,2025-09-01 00:00:00
216,13,23,5,2025-04-25 00:00:00
217,13,16,4,2024-08-19 00:00:00
218,13,5,4,2025-04-16 00:00:00
219,13,30,4,2026-02-11 00:00:00
220,13,7,5,2025-03-19 00:00:00
221,13,2,4,2025-07-19 00:00:00
222,13,6,3,2026-04-04 00:00:00
223,13,21,5,2024-11-16 00:00:00
224,14,14,4,2025-06-04 00:00:00
225,14,2,5,2025-05-11 00:00:00
226,14,8,5,2026-02-09 00:00:00
227,14,3,4,2025-12-23 00:00:00
228,14,24,4,2024-12-02 00:00:00
229,14,19,4,2024-09-01 00:00:00
230,14,9,5,2025-11-06 00:00:00
231,14,23,5,2024-08-19 00:00:00
