user_id,username,nickname,department,grade
1,student0001,同学0001,网络空间安全学院,2022级
2,student0002,同学0002,计算机科学与技术学院,2024级
3,student0003,同学0003,软件学院,2023级
4,student0004,同学0004,软件学院,2022级
5,student0005,同学0005,网络空间安全学院,2022级
6,student0006,同学0006,数据科学与大数据学院,2025级
7,student0007,同学0007,计算机科学与技术学院,2022级
8,student0008,同学0008,计算机科学与技术学院,2023级
9,student0009,同学0009,软件学院,2022级
10,student0010,同学0010,数据科学与大数据学院,2023级
11,student0011,同学0011,网络空间安全学院,2025级
12,student0012,同学0012,软件学院,2025级
13,student0013,同学0013,数据科学与大数据学院,2024级
14,student0014,同学0014,电子信息工程学院,2022级
15,student0015,同学0015,电子信息工程学院,2023级
16,student0016,同学0016,网络空间安全学院,2025级
17,student0017,同学0017,人工智能学院,2024级
18,student0018,同学0018,软件学院,2023级
19,student0019,同学0019,电子信息工程学院,2024级
20,student0020,同学0020,计算机科学与技术学院,2022级
21,student0021,同学0021,信息与通信工程学院,2022级
22,student0022,同学0022,人工智能学院,2024级
23,student0023,同学0023,数据科学与大数据学院,2024级
24,student0024,同学0024,电子信息工程学院,2022级
25,student0025,同学0025,网络空间安全学院,2025级
26,student0026,同学0026,数据科学与大数据学院,2022级
27,student0027,同学0027,信息与通信工程学院,2022级
28,student0028,同学0028,数据科学与大数据学院,2024级
29,student0029,同学0029,电子信息工程学院,2024级
30,student0030,同学0030,数据科学与大数据学院,2023级
31,student0031,同学0031,网络空间安全学院,2022级
32,student0032,同学0032,计算机科学与技术学院,2023级
33,student0033,同学0033,电子信息工程学院,2024级
34,student0034,同学0034,计算机科学与技术学院,2023级
35,student0035,同学0035,电子信息工程学院,2022级
36,student0036,同学0036,信息与通信工程学院,2024级
37,student0037,同学0037,信息与通信工程学院,2024级
38,student0038,同学0038,软件学院,2024级
39,student0039,同学0039,人工智能学院,2023级
40,student0040,同学0040,网络空间安全学院,2024级
41,student0041,同学0041,网络空间安全学院,2022级
42,student0042,同学0042,数据科学与大数据学院,2023级
43,student0043,同学0043,数据科学与大数据学院,2023级
44,student0044,同学0044,软件学院,2025级
45,student0045,同学0045,信息与通信工程学院,2024级
46,student0046,同学0046,网络空间安全学院,2023级
47,student0047,同学0047,网络空间安全学院,2024级
48,student0048,同学0048,电子信息工程学院,2022级
49,student0049,同学0049,软件学院,2022级
50,student0050,同学0050,电子信息工程学院,2024级
51,student0051,同学0051,信息与通信工程学院,2024级
52,student0052,同学0052,计算机科学与技术学院,2023级
53,student0053,同学0053,数据科学与大数据学院,2024级
54,student0054,同学0054,软件学院,2025级
55,student0055,同学0055,信息与通信工程学院,2025级
56,student0056,同学0056,软件学院,2024级
57,student0057,同学0057,软件学院,2023级
58,student0058,同学0058,网络空间安全学院,2024级
59,student0059,同学0059,网络空间安全学院,2025级
60,student0060,同学0060,数据科学与大数据学院,2025级
61,student0061,同学0061,人工智能学院,2023级
62,student0062,同学0062,软件学院,2025级
63,student0063,同学0063,计算机科学与技术学院,2022级
64,student0064,同学0064,电子信息工程学院,2022级
65,student0065,同学0065,软件学院,2023级
66,student0066,同学0066,电子信息工程学院,2025级
67,student0067,同学0067,数据科学与大数据学院,2022级
68,student0068,同学0068,信息与通信工程学院,2025级
69,student0069,同学0069,数据科学与大数据学院,2025级
70,student0070,同学0070,数据科学与大数据学院,2024级
71,student0071,同学0071,数据科学与大数据学院,2022级
72,student0072,同学0072,网络空间安全学院,2022级
73,student0073,同学0073,网络空间安全学院,2024级
74,student0074,同学0074,电子信息工程学院,2024级
75,student0075,同学0075,计算机科学与技术学院,2024级
76,student0076,同学0076,信息与通信工程学院,2023级
77,student0077,同学0077,信息与通信工程学院,2022级
78,student0078,同学0078,网络空间安全学院,2024级
79,student0079,同学0079,数据科学与大数据学院,2023级
80,student0080,同学0080,数据科学与大数据学院,2022级
81,student0081,同学0081,电子信息工程学院,2024级
82,student0082,同学0082,电子信息工程学院,2023级
83,student0083,同学0083,软件学院,2024级
84,student0084,同学0084,电子信息工程学院,2023级
85,student0085,同学0085,数据科学与大数据学院,2022级
86,student0086,同学0086,数据科学与大数据学院,2024级
